Sun_x,Sun_y, Merc_x,Merc_y, Earth_x,Earth_y, Jup_x,Jup_y
2.372180e+07,3.247357e+06, 5.401302e+10,-2.302360e+10, -1.473450e+11,2.478789e+10, 7.546229e+11,1.909845e+11
2.398850e+07,3.295854e+06, 5.535373e+10,-1.915809e+10, -1.477718e+11,2.224698e+10, 7.543445e+11,1.920782e+11
2.425664e+07,3.344739e+06, 5.642144e+10,-1.519804e+10, -1.481547e+11,1.969947e+10, 7.540645e+11,1.931715e+11
2.452619e+07,3.394017e+06, 5.720882e+10,-1.116242e+10, -1.484936e+11,1.714611e+10, 7.537830e+11,1.942644e+11
2.479718e+07,3.443691e+06, 5.770981e+10,-7.070888e+09, -1.487885e+11,1.458767e+10, 7.534998e+11,1.953569e+11
2.506959e+07,3.493763e+06, 5.791972e+10,-2.943654e+09, -1.490392e+11,1.202491e+10, 7.532151e+11,1.964490e+11
2.534342e+07,3.544238e+06, 5.783525e+10,1.198567e+09, -1.492459e+11,9.458590e+09, 7.529288e+11,1.975406e+11
2.561869e+07,3.595118e+06, 5.745458e+10,5.334665e+09, -1.494083e+11,6.889468e+09, 7.526409e+11,1.986319e+11
2.589538e+07,3.646407e+06, 5.677741e+10,9.443240e+09, -1.495264e+11,4.318307e+09, 7.523514e+11,1.997227e+11
2.617349e+07,3.698108e+06, 5.580503e+10,1.350271e+10, -1.496004e+11,1.745870e+09, 7.520604e+11,2.008131e+11
2.645303e+07,3.750226e+06, 5.454033e+10,1.749144e+10, -1.496300e+11,-8.270817e+08, 7.517678e+11,2.019031e+11
2.673398e+07,3.802763e+06, 5.298787e+10,2.138786e+10, -1.496154e+11,-3.399788e+09, 7.514736e+11,2.029927e+11
2.701636e+07,3.855722e+06, 5.115384e+10,2.517059e+10, -1.495566e+11,-5.971488e+09, 7.511778e+11,2.040818e+11
2.730016e+07,3.909108e+06, 4.904615e+10,2.881860e+10, -1.494537e+11,-8.541423e+09, 7.508804e+11,2.051705e+11
2.758538e+07,3.962924e+06, 4.667435e+10,3.231137e+10, -1.493066e+11,-1.110883e+10, 7.505815e+11,2.062588e+11
2.787201e+07,4.017172e+06, 4.404964e+10,3.562897e+10, -1.491154e+11,-1.367297e+10, 7.502810e+11,2.073466e+11
2.816005e+07,4.071856e+06, 4.118484e+10,3.875228e+10, -1.488802e+11,-1.623306e+10, 7.499789e+11,2.084340e+11
2.844950e+07,4.126979e+06, 3.809433e+10,4.166309e+10, -1.486011e+11,-1.878838e+10, 7.496752e+11,2.095210e+11
2.874036e+07,4.182544e+06, 3.479401e+10,4.434428e+10, -1.482783e+11,-2.133815e+10, 7.493700e+11,2.106075e+11
